metabolite,name,molecular_weight,C_number,N_number,hmdb,inchi,kegg.compound,pubchem.compound,reaction
MGlcn109_rl[e],released mucin-type O-glycan No 109,951.87404,36,3,,,,,EX_MGlcn109_rl(e)
MGlcn10_rl[e],released mucin-type O-glycan No 10,1167.0342,44,4,,,,,EX_MGlcn10_rl(e)
MGlcn110[e],mucin-type O-glycan No 110,,36,3,,,,,EX_MGlcn110(e)
MGlcn110_rl[e],released mucin-type O-glycan No 110,951.87404,36,3,,,,,EX_MGlcn110_rl(e)
MGlcn111[e],mucin-type O-glycan No 111,,34,2,,,,,EX_MGlcn111(e)
MGlcn111_rl[e],released mucin-type O-glycan No 111,910.8221199999999,34,2,,,,,EX_MGlcn111_rl(e)
MGlcn112[e],mucin-type O-glycan No 112,,34,2,,,,,EX_MGlcn112(e)
MGlcn112_rl[e],released mucin-type O-glycan No 112,910.8221199999999,34,2,,,,,EX_MGlcn112_rl(e)
MGlcn113[e],mucin-type O-glycan No 113,,42,3,,,,,EX_MGlcn113(e)
MGlcn113_rl[e],released mucin-type O-glycan No 113,1114.0146399999999,42,3,,,,,EX_MGlcn113_rl(e)
MGlcn114[e],mucin-type O-glycan No 114,,40,2,,,,,EX_MGlcn114(e)
MGlcn114_rl[e],released mucin-type O-glycan No 114,1072.96272,40,2,,,,,EX_MGlcn114_rl(e)
MGlcn115[e],mucin-type O-glycan No 115,,48,3,,,,,EX_MGlcn115(e)
MGlcn115_rl[e],released mucin-type O-glycan No 115,1276.15524,48,3,,,,,EX_MGlcn115_rl(e)
MGlcn116[e],mucin-type O-glycan No 116,,33,3,,,,,EX_MGlcn116(e)
MGlcn116_rl[e],released mucin-type O-glycan No 116,876.78756,33,3,,,,,EX_MGlcn116_rl(e)
MGlcn117[e],mucin-type O-glycan No 117,,39,3,,,,,EX_MGlcn117(e)
MGlcn117_rl[e],released mucin-type O-glycan No 117,1038.92816,39,3,,,,,EX_MGlcn117_rl(e)
MGlcn118[e],mucin-type O-glycan No 118,,53,4,,,,,EX_MGlcn118(e)
MGlcn118_rl[e],released mucin-type O-glycan No 118,1388.26188,53,4,,,,,EX_MGlcn118_rl(e)
MGlcn119[e],mucin-type O-glycan No 119,,53,4,,,,,EX_MGlcn119(e)
MGlcn119_rl[e],released mucin-type O-glycan No 119,1388.26188,53,4,,,,,EX_MGlcn119_rl(e)
MGlcn12[e],mucin-type O-glycan No 12,,22,2,,,,,EX_MGlcn12(e)
MGlcn120[e],mucin-type O-glycan No 120,,47,4,,,,,EX_MGlcn120(e)
MGlcn120_rl[e],released mucin-type O-glycan No 120,1242.12068,47,4,,,,,EX_MGlcn120_rl(e)
MGlcn121[e],mucin-type O-glycan No 121,,61,5,,,,,EX_MGlcn121(e)
MGlcn121_rl[e],released mucin-type O-glycan No 121,1591.4544,61,5,,,,,EX_MGlcn121_rl(e)
MGlcn122[e],mucin-type O-glycan No 122,,61,5,,,,,EX_MGlcn122(e)
MGlcn122_rl[e],released mucin-type O-glycan No 122,1591.4544,61,5,,,,,EX_MGlcn122_rl(e)
MGlcn123[e],mucin-type O-glycan No 123,,55,5,,,,,EX_MGlcn123(e)
MGlcn123_rl[e],released mucin-type O-glycan No 123,1445.3131999999998,55,5,,,,,EX_MGlcn123_rl(e)
MGlcn124[e],mucin-type O-glycan No 124,,55,5,,,,,EX_MGlcn124(e)
MGlcn124_rl[e],released mucin-type O-glycan No 124,1445.3131999999998,55,5,,,,,EX_MGlcn124_rl(e)
MGlcn126[e],mucin-type O-glycan No 126,,61,5,,,,,EX_MGlcn126(e)
MGlcn126_rl[e],released mucin-type O-glycan No 126,1607.4538,61,5,,,,,EX_MGlcn126_rl(e)
MGlcn127[e],mucin-type O-glycan No 127,,75,6,,,,,EX_MGlcn127(e)
MGlcn127_rl[e],released mucin-type O-glycan No 127,1956.78752,75,6,,,,,EX_MGlcn127_rl(e)
MGlcn128[e],mucin-type O-glycan No 128,,75,6,,,,,EX_MGlcn128(e)
MGlcn128_rl[e],released mucin-type O-glycan No 128,1956.78752,75,6,,,,,EX_MGlcn128_rl(e)
MGlcn129[e],mucin-type O-glycan No 129,,75,6,,,,,EX_MGlcn129(e)
MGlcn129_rl[e],released mucin-type O-glycan No 129,1956.78752,75,6,,,,,EX_MGlcn129_rl(e)
MGlcn12_rl[e],released mucin-type O-glycan No 12,586.54092,22,2,,,,,EX_MGlcn12_rl(e)
MGlcn13[e],mucin-type O-glycan No 13,,30,3,,,,,EX_MGlcn13(e)
MGlcn130[e],mucin-type O-glycan No 130,,69,6,,,,,EX_MGlcn130(e)
MGlcn130_rl[e],released mucin-type O-glycan No 130,1810.64632,69,6,,,,,EX_MGlcn130_rl(e)
MGlcn131[e],mucin-type O-glycan No 131,,69,6,,,,,EX_MGlcn131(e)
MGlcn131_rl[e],released mucin-type O-glycan No 131,1810.64632,69,6,,,,,EX_MGlcn131_rl(e)
MGlcn132[e],mucin-type O-glycan No 132,,69,6,,,,,EX_MGlcn132(e)
MGlcn132_rl[e],released mucin-type O-glycan No 132,1810.64632,69,6,,,,,EX_MGlcn132_rl(e)
MGlcn133[e],mucin-type O-glycan No 133,,83,7,,,,,EX_MGlcn133(e)
MGlcn133_rl[e],released mucin-type O-glycan No 133,2159.98004,83,7,,,,,EX_MGlcn133_rl(e)
MGlcn134[e],mucin-type O-glycan No 134,,83,7,,,,,EX_MGlcn134(e)
MGlcn134_rl[e],released mucin-type O-glycan No 134,2159.98004,83,7,,,,,EX_MGlcn134_rl(e)
MGlcn135[e],mucin-type O-glycan No 135,,77,7,,,,,EX_MGlcn135(e)
MGlcn135_rl[e],released mucin-type O-glycan No 135,2013.83884,77,7,,,,,EX_MGlcn135_rl(e)
MGlcn136[e],mucin-type O-glycan No 136,,77,7,,,,,EX_MGlcn136(e)
MGlcn136_rl[e],released mucin-type O-glycan No 136,2013.83884,77,7,,,,,EX_MGlcn136_rl(e)
MGlcn137[e],mucin-type O-glycan No 137,,34,2,,,,,EX_MGlcn137(e)
MGlcn137_rl[e],released mucin-type O-glycan No 137,894.82272,34,2,,,,,EX_MGlcn137_rl(e)
MGlcn138[e],mucin-type O-glycan No 138,,34,2,,,,,EX_MGlcn138(e)
MGlcn138_rl[e],released mucin-type O-glycan No 138,894.82272,34,2,,,,,EX_MGlcn138_rl(e)
MGlcn139[e],mucin-type O-glycan No 139,,34,2,,,,,EX_MGlcn139(e)
MGlcn139_rl[e],released mucin-type O-glycan No 139,894.82272,34,2,,,,,EX_MGlcn139_rl(e)
MGlcn13_rl[e],released mucin-type O-glycan No 13,789.73344,30,3,,,,,EX_MGlcn13_rl(e)
MGlcn14[e],mucin-type O-glycan No 14,,36,3,,,,,EX_MGlcn14(e)
MGlcn140[e],mucin-type O-glycan No 140,,34,2,,,,,EX_MGlcn140(e)
MGlcn140_rl[e],released mucin-type O-glycan No 140,894.82272,34,2,,,,,EX_MGlcn140_rl(e)
MGlcn141[e],mucin-type O-glycan No 141,,28,2,,,,,EX_MGlcn141(e)
MGlcn141_rl[e],released mucin-type O-glycan No 141,732.68212,28,2,,,,,EX_MGlcn141_rl(e)
MGlcn142[e],mucin-type O-glycan No 142,,28,2,,,,,EX_MGlcn142(e)
MGlcn142_rl[e],released mucin-type O-glycan No 142,732.68212,28,2,,,,,EX_MGlcn142_rl(e)
MGlcn143[e],mucin-type O-glycan No 143,,28,2,,,,,EX_MGlcn143(e)
MGlcn143_rl[e],released mucin-type O-glycan No 143,732.68212,28,2,,,,,EX_MGlcn143_rl(e)
MGlcn144[e],mucin-type O-glycan No 144,,28,2,,,,,EX_MGlcn144(e)
MGlcn144_rl[e],released mucin-type O-glycan No 144,732.68212,28,2,,,,,EX_MGlcn144_rl(e)
MGlcn145[e],mucin-type O-glycan No 145,,34,2,,,,,EX_MGlcn145(e)
MGlcn145_rl[e],released mucin-type O-glycan No 145,878.82332,34,2,,,,,EX_MGlcn145_rl(e)
MGlcn146[e],mucin-type O-glycan No 146,,34,2,,,,,EX_MGlcn146(e)
MGlcn146_rl[e],released mucin-type O-glycan No 146,878.82332,34,2,,,,,EX_MGlcn146_rl(e)
MGlcn147[e],mucin-type O-glycan No 147,,33,3,,,,,EX_MGlcn147(e)
MGlcn147_rl[e],released mucin-type O-glycan No 147,876.78756,33,3,,,,,EX_MGlcn147_rl(e)
MGlcn148[e],mucin-type O-glycan No 148,,22,2,,,,,EX_MGlcn148(e)
MGlcn148_rl[e],released mucin-type O-glycan No 148,586.54092,22,2,,,,,EX_MGlcn148_rl(e)
MGlcn149[e],mucin-type O-glycan No 149,,36,3,,,,,EX_MGlcn149(e)
MGlcn149_rl[e],released mucin-type O-glycan No 149,935.87464,36,3,,,,,EX_MGlcn149_rl(e)
MGlcn14_rl[e],released mucin-type O-glycan No 14,951.87404,36,3,,,,,EX_MGlcn14_rl(e)
MGlcn15[e],mucin-type O-glycan No 15,,50,4,,,,,EX_MGlcn15(e)
MGlcn150[e],mucin-type O-glycan No 150,,41,4,,,,,EX_MGlcn150(e)
MGlcn150_rl[e],released mucin-type O-glycan No 150,1079.98008,41,4,,,,,EX_MGlcn150_rl(e)
MGlcn151[e],mucin-type O-glycan No 151,,41,4,,,,,EX_MGlcn151(e)
MGlcn151_rl[e],released mucin-type O-glycan No 151,1079.98008,41,4,,,,,EX_MGlcn151_rl(e)
MGlcn152[e],mucin-type O-glycan No 152,,52,5,,,,,EX_MGlcn152(e)
MGlcn152_rl[e],released mucin-type O-glycan No 152,1370.22672,52,5,,,,,EX_MGlcn152_rl(e)
MGlcn153[e],mucin-type O-glycan No 153,,30,3,,,,,EX_MGlcn153(e)
MGlcn153_rl[e],released mucin-type O-glycan No 153,789.73344,30,3,,,,,EX_MGlcn153_rl(e)
MGlcn154[e],mucin-type O-glycan No 154,,30,3,,,,,EX_MGlcn154(e)
MGlcn154_rl[e],released mucin-type O-glycan No 154,789.73344,30,3,,,,,EX_MGlcn154_rl(e)
MGlcn155[e],mucin-type O-glycan No 155,,36,3,,,,,EX_MGlcn155(e)
MGlcn155_rl[e],released mucin-type O-glycan No 155,935.87464,36,3,,,,,EX_MGlcn155_rl(e)
MGlcn156[e],mucin-type O-glycan No 156,,30,3,,,,,EX_MGlcn156(e)
MGlcn156_rl[e],released mucin-type O-glycan No 156,789.73344,30,3,,,,,EX_MGlcn156_rl(e)
MGlcn157[e],mucin-type O-glycan No 157,,40,2,,,,,EX_MGlcn157(e)
MGlcn157_rl[e],released mucin-type O-glycan No 157,1040.96392,40,2,,,,,EX_MGlcn157_rl(e)
MGlcn158[e],mucin-type O-glycan No 158,,28,2,,,,,EX_MGlcn158(e)
MGlcn158_rl[e],released mucin-type O-glycan No 158,748.68152,28,2,,,,,EX_MGlcn158_rl(e)
MGlcn159[e],mucin-type O-glycan No 159,,28,2,,,,,EX_MGlcn159(e)
MGlcn159_rl[e],released mucin-type O-glycan No 159,748.68152,28,2,,,,,EX_MGlcn159_rl(e)
MGlcn15_rl[e],released mucin-type O-glycan No 15,1301.20776,50,4,,,,,EX_MGlcn15_rl(e)
MGlcn16[e],mucin-type O-glycan No 16,,52,5,,,,,EX_MGlcn16(e)
MGlcn160[e],mucin-type O-glycan No 160,,28,2,,,,,EX_MGlcn160(e)
MGlcn160_rl[e],released mucin-type O-glycan No 160,748.68152,28,2,,,,,EX_MGlcn160_rl(e)
MGlcn161[e],mucin-type O-glycan No 161,,42,3,,,,,EX_MGlcn161(e)
MGlcn161_rl[e],released mucin-type O-glycan No 161,1098.01524,42,3,,,,,EX_MGlcn161_rl(e)
MGlcn162[e],mucin-type O-glycan No 162,,67,5,,,,,EX_MGlcn162(e)
MGlcn162_rl[e],released mucin-type O-glycan No 162,1753.595,67,5,,,,,EX_MGlcn162_rl(e)
MGlcn163[e],mucin-type O-glycan No 163,,36,3,,,,,EX_MGlcn163(e)
MGlcn163_rl[e],released mucin-type O-glycan No 163,951.87404,36,3,,,,,EX_MGlcn163_rl(e)
MGlcn164[e],mucin-type O-glycan No 164,,55,5,,,,,EX_MGlcn164(e)
MGlcn164_rl[e],released mucin-type O-glycan No 164,1445.3131999999998,55,5,,,,,EX_MGlcn164_rl(e)
MGlcn165[e],mucin-type O-glycan No 165,,55,5,,,,,EX_MGlcn165(e)
MGlcn165_rl[e],released mucin-type O-glycan No 165,1445.3131999999998,55,5,,,,,EX_MGlcn165_rl(e)
MGlcn166[e],mucin-type O-glycan No 166,,44,4,,,,,EX_MGlcn166(e)
MGlcn166_rl[e],released mucin-type O-glycan No 166,1155.06656,44,4,,,,,EX_MGlcn166_rl(e)
MGlcn167[e],mucin-type O-glycan No 167,,63,6,,,,,EX_MGlcn167(e)
MGlcn167_rl[e],released mucin-type O-glycan No 167,1648.50572,63,6,,,,,EX_MGlcn167_rl(e)
MGlcn168[e],mucin-type O-glycan No 168,,63,6,,,,,EX_MGlcn168(e)
MGlcn168_rl[e],released mucin-type O-glycan No 168,1648.50572,63,6,,,,,EX_MGlcn168_rl(e)
MGlcn169[e],mucin-type O-glycan No 169,,63,6,,,,,EX_MGlcn169(e)
MGlcn169_rl[e],released mucin-type O-glycan No 169,1648.50572,63,6,,,,,EX_MGlcn169_rl(e)
MGlcn16_rl[e],released mucin-type O-glycan No 16,1358.2590799999998,52,5,,,,,EX_MGlcn16_rl(e)
MGlcn17[e],mucin-type O-glycan No 17,,72,6,,,,,EX_MGlcn17(e)
MGlcn170[e],mucin-type O-glycan No 170,,52,5,,,,,EX_MGlcn170(e)
MGlcn170_rl[e],released mucin-type O-glycan No 170,1358.2590799999998,52,5,,,,,EX_MGlcn170_rl(e)
MGlcn171[e],mucin-type O-glycan No 171,,52,5,,,,,EX_MGlcn171(e)
MGlcn171_rl[e],released mucin-type O-glycan No 171,1358.2590799999998,52,5,,,,,EX_MGlcn171_rl(e)
MGlcn172[e],mucin-type O-glycan No 172,,48,3,,,,,EX_MGlcn172(e)
MGlcn172_rl[e],released mucin-type O-glycan No 172,1260.1558400000001,48,3,,,,,EX_MGlcn172_rl(e)
MGlcn173[e],mucin-type O-glycan No 173,,42,3,,,,,EX_MGlcn173(e)
MGlcn173_rl[e],released mucin-type O-glycan No 173,1114.0146399999999,42,3,,,,,EX_MGlcn173_rl(e)
MGlcn174[e],mucin-type O-glycan No 174,,49,5,,,,,EX_MGlcn174(e)
MGlcn174_rl[e],released mucin-type O-glycan No 174,1283.1726,49,5,,,,,EX_MGlcn174_rl(e)
MGlcn175[e],mucin-type O-glycan No 175,,38,4,,,,,EX_MGlcn175(e)
MGlcn175_rl[e],released mucin-type O-glycan No 175,992.92596,38,4,,,,,EX_MGlcn175_rl(e)
MGlcn176[e],mucin-type O-glycan No 176,,61,5,,,,,EX_MGlcn176(e)
MGlcn176_rl[e],released mucin-type O-glycan No 176,1591.4544,61,5,,,,,EX_MGlcn176_rl(e)
MGlcn177[e],mucin-type O-glycan No 177,,50,4,,,,,EX_MGlcn177(e)
MGlcn177_rl[e],released mucin-type O-glycan No 177,1301.20776,50,4,,,,,EX_MGlcn177_rl(e)
MGlcn178[e],mucin-type O-glycan No 178,,66,6,,,,,EX_MGlcn178(e)
MGlcn178_rl[e],released mucin-type O-glycan No 178,1735.55984,66,6,,,,,EX_MGlcn178_rl(e)
MGlcn179[e],mucin-type O-glycan No 179,,69,6,,,,,EX_MGlcn179(e)
MGlcn179_rl[e],released mucin-type O-glycan No 179,1794.64692,69,6,,,,,EX_MGlcn179_rl(e)
MGlcn17_rl[e],released mucin-type O-glycan No 17,1869.7334,72,6,,,,,EX_MGlcn17_rl(e)
MGlcn18[e],mucin-type O-glycan No 18,,44,4,,,,,EX_MGlcn18(e)
MGlcn180[e],mucin-type O-glycan No 180,,58,5,,,,,EX_MGlcn180(e)
MGlcn180_rl[e],released mucin-type O-glycan No 180,1504.40028,58,5,,,,,EX_MGlcn180_rl(e)
MGlcn181[e],mucin-type O-glycan No 181,,74,7,,,,,EX_MGlcn181(e)
MGlcn181_rl[e],released mucin-type O-glycan No 181,1938.75236,74,7,,,,,EX_MGlcn181_rl(e)
MGlcn182[e],mucin-type O-glycan No 182,,22,2,,,,,EX_MGlcn182(e)
MGlcn182_rl[e],released mucin-type O-glycan No 182,570.54152,22,2,,,,,EX_MGlcn182_rl(e)
MGlcn183[e],mucin-type O-glycan No 183,,41,4,,,,,EX_MGlcn183(e)
MGlcn183_rl[e],released mucin-type O-glycan No 183,1079.98008,41,4,,,,,EX_MGlcn183_rl(e)
MGlcn185[e],mucin-type O-glycan No 185,,30,3,,,,,EX_MGlcn185(e)
MGlcn185_rl[e],released mucin-type O-glycan No 185,789.73344,30,3,,,,,EX_MGlcn185_rl(e)
MGlcn186[e],mucin-type O-glycan No 186,,47,4,,,,,EX_MGlcn186(e)
MGlcn186_rl[e],released mucin-type O-glycan No 186,1242.12068,47,4,,,,,EX_MGlcn186_rl(e)
MGlcn187[e],mucin-type O-glycan No 187,,47,4,,,,,EX_MGlcn187(e)
MGlcn187_rl[e],released mucin-type O-glycan No 187,1242.12068,47,4,,,,,EX_MGlcn187_rl(e)
MGlcn188[e],mucin-type O-glycan No 188,,58,5,,,,,EX_MGlcn188(e)
MGlcn188_rl[e],released mucin-type O-glycan No 188,1532.3673199999998,58,5,,,,,EX_MGlcn188_rl(e)
MGlcn189[e],mucin-type O-glycan No 189,,36,3,,,,,EX_MGlcn189(e)
MGlcn189_rl[e],released mucin-type O-glycan No 189,951.87404,36,3,,,,,EX_MGlcn189_rl(e)
MGlcn18_rl[e],released mucin-type O-glycan No 18,1155.06656,44,4,,,,,EX_MGlcn18_rl(e)
MGlcn19[e],mucin-type O-glycan No 19,,66,6,,,,,EX_MGlcn19(e)
MGlcn190[e],mucin-type O-glycan No 190,,55,5,,,,,EX_MGlcn190(e)
MGlcn190_rl[e],released mucin-type O-glycan No 190,1445.3131999999998,55,5,,,,,EX_MGlcn190_rl(e)
MGlcn191[e],mucin-type O-glycan No 191,,55,5,,,,,EX_MGlcn191(e)
MGlcn191_rl[e],released mucin-type O-glycan No 191,1445.3131999999998,55,5,,,,,EX_MGlcn191_rl(e)
MGlcn192[e],mucin-type O-glycan No 192,,66,6,,,,,EX_MGlcn192(e)
MGlcn192_rl[e],released mucin-type O-glycan No 192,1735.55984,66,6,,,,,EX_MGlcn192_rl(e)
MGlcn193[e],mucin-type O-glycan No 193,,44,4,,,,,EX_MGlcn193(e)
MGlcn193_rl[e],released mucin-type O-glycan No 193,1155.06656,44,4,,,,,EX_MGlcn193_rl(e)
MGlcn194[e],mucin-type O-glycan No 194,,44,4,,,,,EX_MGlcn194(e)
MGlcn194_rl[e],released mucin-type O-glycan No 194,1155.06656,44,4,,,,,EX_MGlcn194_rl(e)
MGlcn195[e],mucin-type O-glycan No 195,,26,1,,,,,EX_MGlcn195(e)
MGlcn195_rl[e],released mucin-type O-glycan No 195,691.6302,26,1,,,,,EX_MGlcn195_rl(e)
MGlcn196[e],mucin-type O-glycan No 196,,20,1,,,,,EX_MGlcn196(e)
MGlcn196_rl[e],released mucin-type O-glycan No 196,545.489,20,1,,,,,EX_MGlcn196_rl(e)
MGlcn19_rl[e],released mucin-type O-glycan No 19,1723.5922,66,6,,,,,EX_MGlcn19_rl(e)
MGlcn2[e],mucin-type O-glycan No 2,,27,3,,,,,EX_MGlcn2(e)
MGlcn20[e],mucin-type O-glycan No 20,,44,4,,,,,EX_MGlcn20(e)
MGlcn20_rl[e],released mucin-type O-glycan No 20,1155.06656,44,4,,,,,EX_MGlcn20_rl(e)
MGlcn21[e],mucin-type O-glycan No 21,,58,5,,,,,EX_MGlcn21(e)
MGlcn21_rl[e],released mucin-type O-glycan No 21,1520.39968,58,5,,,,,EX_MGlcn21_rl(e)
MGlcn22[e],mucin-type O-glycan No 22,,20,1,,,,,EX_MGlcn22(e)
MGlcn22_rl[e],released mucin-type O-glycan No 22,529.4896,20,1,,,,,EX_MGlcn22_rl(e)
MGlcn23[e],mucin-type O-glycan No 23,,28,2,,,,,EX_MGlcn23(e)
MGlcn23_rl[e],released mucin-type O-glycan No 23,732.68212,28,2,,,,,EX_MGlcn23_rl(e)
MGlcn24[e],mucin-type O-glycan No 24,,28,2,,,,,EX_MGlcn24(e)
MGlcn24_rl[e],released mucin-type O-glycan No 24,732.68212,28,2,,,,,EX_MGlcn24_rl(e)
MGlcn25[e],mucin-type O-glycan No 25,,34,2,,,,,EX_MGlcn25(e)
MGlcn25_rl[e],released mucin-type O-glycan No 25,894.82272,34,2,,,,,EX_MGlcn25_rl(e)
MGlcn26[e],mucin-type O-glycan No 26,,34,2,,,,,EX_MGlcn26(e)
MGlcn26_rl[e],released mucin-type O-glycan No 26,894.82272,34,2,,,,,EX_MGlcn26_rl(e)
MGlcn27[e],mucin-type O-glycan No 27,,34,2,,,,,EX_MGlcn27(e)
MGlcn27_rl[e],released mucin-type O-glycan No 27,894.82272,34,2,,,,,EX_MGlcn27_rl(e)
MGlcn28[e],mucin-type O-glycan No 28,,34,2,,,,,EX_MGlcn28(e)
MGlcn28_rl[e],released mucin-type O-glycan No 28,894.82272,34,2,,,,,EX_MGlcn28_rl(e)
MGlcn29[e],mucin-type O-glycan No 29,,36,3,,,,,EX_MGlcn29(e)
MGlcn29_rl[e],released mucin-type O-glycan No 29,935.87464,36,3,,,,,EX_MGlcn29_rl(e)
MGlcn2_rl[e],released mucin-type O-glycan No 2,714.64696,27,3,,,,,EX_MGlcn2_rl(e)
MGlcn3[e],mucin-type O-glycan No 3,,33,3,,,,,EX_MGlcn3(e)
MGlcn30[e],mucin-type O-glycan No 30,,40,2,,,,,EX_MGlcn30(e)
MGlcn30_rl[e],released mucin-type O-glycan No 30,1040.96392,40,2,,,,,EX_MGlcn30_rl(e)
MGlcn31[e],mucin-type O-glycan No 31,,40,2,,,,,EX_MGlcn31(e)
MGlcn31_rl[e],released mucin-type O-glycan No 31,1056.96332,40,2,,,,,EX_MGlcn31_rl(e)
MGlcn32[e],mucin-type O-glycan No 32,,42,3,,,,,EX_MGlcn32(e)
MGlcn32_rl[e],released mucin-type O-glycan No 32,1098.01524,42,3,,,,,EX_MGlcn32_rl(e)
MGlcn33[e],mucin-type O-glycan No 33,,46,2,,,,,EX_MGlcn33(e)
MGlcn33_rl[e],released mucin-type O-glycan No 33,1187.10512,46,2,,,,,EX_MGlcn33_rl(e)
MGlcn34[e],mucin-type O-glycan No 34,,46,2,,,,,EX_MGlcn34(e)
MGlcn34_rl[e],released mucin-type O-glycan No 34,1203.10452,46,2,,,,,EX_MGlcn34_rl(e)
MGlcn35[e],mucin-type O-glycan No 35,,46,2,,,,,EX_MGlcn35(e)
MGlcn35_rl[e],released mucin-type O-glycan No 35,1203.10452,46,2,,,,,EX_MGlcn35_rl(e)
MGlcn36[e],mucin-type O-glycan No 36,,46,2,,,,,EX_MGlcn36(e)
MGlcn36_rl[e],released mucin-type O-glycan No 36,1203.10452,46,2,,,,,EX_MGlcn36_rl(e)
MGlcn37[e],mucin-type O-glycan No 37,,48,3,,,,,EX_MGlcn37(e)
MGlcn37_rl[e],released mucin-type O-glycan No 37,1244.15644,48,3,,,,,EX_MGlcn37_rl(e)
MGlcn38[e],mucin-type O-glycan No 38,,48,3,,,,,EX_MGlcn38(e)
MGlcn38_rl[e],released mucin-type O-glycan No 38,1244.15644,48,3,,,,,EX_MGlcn38_rl(e)
MGlcn39[e],mucin-type O-glycan No 39,,22,2,,,,,EX_MGlcn39(e)
MGlcn39_rl[e],released mucin-type O-glycan No 39,586.54092,22,2,,,,,EX_MGlcn39_rl(e)
MGlcn3_rl[e],released mucin-type O-glycan No 3,876.78756,33,3,,,,,EX_MGlcn3_rl(e)
MGlcn4[e],mucin-type O-glycan No 4,,47,4,,,,,EX_MGlcn4(e)
MGlcn40[e],mucin-type O-glycan No 40,,48,3,,,,,EX_MGlcn40(e)
MGlcn40_rl[e],released mucin-type O-glycan No 40,1244.15644,48,3,,,,,EX_MGlcn40_rl(e)
MGlcn41[e],mucin-type O-glycan No 41,,50,4,,,,,EX_MGlcn41(e)
MGlcn41_rl[e],released mucin-type O-glycan No 41,1301.20776,50,4,,,,,EX_MGlcn41_rl(e)
MGlcn42[e],mucin-type O-glycan No 42,,52,2,,,,,EX_MGlcn42(e)
MGlcn42_rl[e],released mucin-type O-glycan No 42,1365.2451199999998,52,2,,,,,EX_MGlcn42_rl(e)
MGlcn45[e],mucin-type O-glycan No 45,,28,2,,,,,EX_MGlcn45(e)
MGlcn45_rl[e],released mucin-type O-glycan No 45,748.68152,28,2,,,,,EX_MGlcn45_rl(e)
MGlcn46[e],mucin-type O-glycan No 46,,28,2,,,,,EX_MGlcn46(e)
MGlcn46_rl[e],released mucin-type O-glycan No 46,748.68152,28,2,,,,,EX_MGlcn46_rl(e)
MGlcn47[e],mucin-type O-glycan No 47,,42,3,,,,,EX_MGlcn47(e)
MGlcn47_rl[e],released mucin-type O-glycan No 47,1098.01524,42,3,,,,,EX_MGlcn47_rl(e)
